ID	VARDAS PAVARDĖ	Sąrašas	Numeris sąraše	Porinkiminis numeris	Vienmandatė apygarda	Iškėlė vienmandatėje	Turas	Privalomas registruoti turtas (Eur)	Vertybiniai popieriai, meno kūriniai, juvelyriniai dirbiniai (Eur)	Piniginės lėšos (Eur)	Suteiktos paskolos (Eur)	Gautos paskolos (Eur)	Gautų pajamų suma (GPM305 formos 12, 13, 14 ir GPM305V formos V14 laukelių suma) (Eur)	Išskaičiuota (sumokėta) pajamų mokesčio suma (GPM305 formos 27, 28, 30 laukelių suma) (Eur)	Nuoroda į VRK psl.			
1252	TADEUŠ TUČKOVSKI	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	64	-			I	33709	1004	12814	0	0	18319,5	2242	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103154.0%26rnkId%3D426			
1253	ANDRIUS TUČKUS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	58	-	41. Kelmės-Šiaulių	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	0	1000	0	0	4400	3743,47	241	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104128.0%26rnkId%3D426			
1254	VILIUS TUMALAVIČIUS	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	56	-			I	0	0	0	0	0	1295,8	35	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1099928.0%26rnkId%3D426			
1255	SKIRMANTAS TUMELIS	7. Lietuvos Respublikos liberalų sąjūdis	98	-			I	5792	0	1000	0	0	24699,88	3338	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103666.0%26rnkId%3D426			
1256	STASYS TUMĖNAS	6. Lietuvos valstiečių ir žaliųjų sąjunga	29	-	25. Aušros	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	124884	0	1550	0	0	22759,69	3414	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102458.0%26rnkId%3D426			
1257	VLADAS TUMĖNAS	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	38	-			I	12500	0	0	0	0	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1099942.0%26rnkId%3D426			
1258	VIRGINIJA TUMĖNIENĖ	5. Partija Tvarka ir teisingumas	107	-			I	9128	0	9430	0	0	6362,83	639	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102374.0%26rnkId%3D426			
1259	ROMUALDAS JUOZAS TUNAITIS	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	63	-			I	43928	0	2000	0	4000	2390,35	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101350.0%26rnkId%3D426			
1260	VLADAS TURČINAVIČIUS	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	35	-			I	0	0	0	0	0	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D21.0%26rnkId%3D426			
1261	DOMINYKAS TUTKUS	6. Lietuvos valstiečių ir žaliųjų sąjunga	92	-			I	0	0	399	0	2414	5061,07	522	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102650.0%26rnkId%3D426			
1262	GINTARAS UBARTA	8. Darbo partija	123	-			I	50	0	0	0	7250	6710,4	827	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101402.0%26rnkId%3D426			
1263	ALGIRDAS ULČICKAS	12. Lietuvos žaliųjų partija	20	-			I	0	0	0	0	0	7713,94	1023	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104006.0%26rnkId%3D426			
1264	KĘSTUTIS ULČICKAS	12. Lietuvos žaliųjų partija	30	-			I	0	0	0	0	0	5090,95	528	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104044.0%26rnkId%3D426			
1265	PAULIUS ULECKAS	3. Lietuvos laisvės sąjunga (liberalai)	47	-	29. Marijampolės	3. Lietuvos laisvės sąjunga (liberalai)	I	1870	0	14000	0	0	25636,53	3737	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102772.0%26rnkId%3D426			
1266	DARIUS ULICKAS	8. Darbo partija	12	-	42. Raseinių-Kėdainių	8. Darbo partija	I	15703	0	53000	0	40000	32077,16	4636	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100558.0%26rnkId%3D426			
1267	ASTA ULINSKAITĖ	7. Lietuvos Respublikos liberalų sąjūdis	140	-	66. Garliavos	7. Lietuvos Respublikos liberalų sąjūdis	I	5000	0	0	0	0	10915,78	1589	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103418.0%26rnkId%3D426			
1268	JUSTINAS URBANAVIČIUS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	48	-	65. Raudondvario	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	135000	0	15000	0	30000	19631,09	2837	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104148.0%26rnkId%3D426			
1269	JUSTINAS URBANAVIČIUS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	81	-			I	135000	0	15000	0	30000	19631,09	2837	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104148.0%26rnkId%3D426			
1270	KĘSTUTIS URBANAVIČIUS	5. Partija Tvarka ir teisingumas	122	-			I	500	0	6000	0	0	3255,87	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102404.0%26rnkId%3D426			
1271	JAROSLAV URBANOVIČ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	95	-			I	70000	0	500	0	85000	20427,81	720	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103230.0%26rnkId%3D426			
1272	ALGIRDAS URBELIS	8. Darbo partija	116	-			I	15928	0	35963	0	0	14,54	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101404.0%26rnkId%3D426			
1273	SAULIUS URBONAS	1. Lietuvos socialdemokratų partija	87	-			I	25338	0	10000	0	0	29903,28	3996	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103870.0%26rnkId%3D426			
1274	VIDAS URBONAVIČIUS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	41	-	58. Trakų-Vievio	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	105029	0	26800	0	102815	27118,78	3826	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104172.0%26rnkId%3D426			
1275	DAIVA URBONAVIČIŪTĖ	5. Partija Tvarka ir teisingumas	61	-	1. Naujamiesčio	5. Partija Tvarka ir teisingumas	I	4000	0	169	0	0	3699,97	157	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102246.0%26rnkId%3D426			
1276	POVILAS URBŠYS	6. Lietuvos valstiečių ir žaliųjų sąjunga	7	-	27. Vakarinė	Išsikėlė pats	I	24084	0	6198	0	5194	37671,72	5520	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1098394.0%26rnkId%3D426			
1277	MARCIJONAS URMONAS	7. Lietuvos Respublikos liberalų sąjūdis	29	-			I	36180	579	80427	2896	0	24425,16	3241	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103566.0%26rnkId%3D426			
1278	SERGEJ URSUL	8. Darbo partija	25	-	10. Naujosios Vilnios	8. Darbo partija	I	684845	0	11780	0	377785	711194,7	4655	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100608.0%26rnkId%3D426			
1279	RIMVYDAS UŽEMECKAS	8. Darbo partija	75	-	23. Danės	8. Darbo partija	I	56476	0	408	0	65000	17728,75	2445	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100630.0%26rnkId%3D426			
1280	JAROSLAV VABALIS	13. Politinė partija „Lietuvos sąrašas“	28	-			I	1200	0	2500	0	0	4970,01	505	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104398.0%26rnkId%3D426			
1281	GEDIMINAS VAGNORIUS	8. Darbo partija	9	-	33. Pietų Žemaitijos	8. Darbo partija	I	8948	0	23500	13000	14800	16190	150	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100582.0%26rnkId%3D426			
1282	JOLITA VAICKIENĖ	7. Lietuvos Respublikos liberalų sąjūdis	25	-	36. Kretingos-Palangos	7. Lietuvos Respublikos liberalų sąjūdis	I	6000	5792	78024	24618	0	35584,22	4867	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103544.0%26rnkId%3D426			
1283	GINTARAS VAIČEKAUSKAS	7. Lietuvos Respublikos liberalų sąjūdis	73	-	22. Pajūrio	7. Lietuvos Respublikos liberalų sąjūdis	I	44500	0	6356	0	0	25727,99	2909	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103542.0%26rnkId%3D426			
1284	ERNESTAS VAIČIKAUSKAS	8. Darbo partija	40	-			I	0	0	0	0	0	5546,81	614	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101422.0%26rnkId%3D426			
1285	DONATA VAIČYTĖ-MARTINKIENĖ	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	20	-			I	48300	0	0	0	0	9413,71	1239	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1099952.0%26rnkId%3D426			
1286	ALGIRDAS VAIDOTAS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	49	-	52. Visagino-Zarasų	Lietuvos centro partija	I	275000	0	2000	0	23000	12539,51	1743	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104510.0%26rnkId%3D426			
1287	RITAS VAIGINAS	8. Darbo partija	35	-	48. Biržų-Kupiškio	8. Darbo partija	I	38809	22445	43443	0	10000	25222,89	3783	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100550.0%26rnkId%3D426			
1288	STASYS VAINAUSKAS	5. Partija Tvarka ir teisingumas	47	-	47. Pasvalio-Pakruojo	5. Partija Tvarka ir teisingumas	I	8600	0	1	0	17350	266,19	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102216.0%26rnkId%3D426			
1289	BERNARDINAS PETRAS VAINIUS	1. Lietuvos socialdemokratų partija	131	-			I	49700	0	16000	0	0	10021,05	1459	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103968.0%26rnkId%3D426			
1290	STASYS VAINORAS	7. Lietuvos Respublikos liberalų sąjūdis	62	-			I	9550	0	3000	0	0	15309,49	2138	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103594.0%26rnkId%3D426			
1291	EDMANTAS VAIŠVILA	8. Darbo partija	114	-			I	51690	0	20500	0	0	11337,26	1701	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101534.0%26rnkId%3D426			
1292	PETRAS VAITELIS	6. Lietuvos valstiečių ir žaliųjų sąjunga	129	-			I	59975	912	16601	0	0	154054,01	1567	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102564.0%26rnkId%3D426			
1293	EDITA VAITIEKŪNIENĖ	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	134	-			I	0	1000	0	0	0	7948,03	1014	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104238.0%26rnkId%3D426			
1294	ALGIS VAITKEVIČIUS	1. Lietuvos socialdemokratų partija	118	-	57. Medininkų	1. Lietuvos socialdemokratų partija	I	21865	0	3000	0	0	22584,14	3244	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103818.0%26rnkId%3D426			
1295	VYTAUTAS VAITKEVIČIUS	3. Lietuvos laisvės sąjunga (liberalai)	45	-	53. Nalšios	3. Lietuvos laisvės sąjunga (liberalai)	I	83890	0	10000	0	0	28580,34	3594	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102768.0%26rnkId%3D426			
1296	ALGIMANTAS VAITKUS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	109	-			I	74900	0	50000	0	0	18333,38	2750	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104274.0%26rnkId%3D426			
1297	ARVYDAS VAITKUS	1. Lietuvos socialdemokratų partija	129	-			I	127571	19140	279922	0	122646	61447,55	7582	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103964.0%26rnkId%3D426			
1298	RIMANTAS VAITKUS	1. Lietuvos socialdemokratų partija	42	-	35. Plungės	1. Lietuvos socialdemokratų partija	I	45110	0	6400	0	7200	37067,69	5345	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103720.0%26rnkId%3D426			
1299	VIDMANTAS VALANTIEJUS	7. Lietuvos Respublikos liberalų sąjūdis	81	-			I	3400	0	0	0	4054	12285,21	1679	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103612.0%26rnkId%3D426			
1300	TOMAS VALAŠINAS	5. Partija Tvarka ir teisingumas	57	-	7. Justiniškių	5. Partija Tvarka ir teisingumas	I	38759	0	16000	0	0	14463,27	2168	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102152.0%26rnkId%3D426			
1301	RAMŪNAS VALATKA	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	33	-			I	211100	434430	400000	0	0	270857,1	33896	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101290.0%26rnkId%3D426			
1302	NIJOLĖ VALATKIENĖ	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	75	-			I	77500	0	50000	0	0	627,07	18	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104692.0%26rnkId%3D426			
1303	VIDMANTAS VALINČIUS	3. Lietuvos laisvės sąjunga (liberalai)	53	-			I	4055	0	16323	0	960	25584,61	3759	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102902.0%26rnkId%3D426			
1304	GEDIMINAS VALINEVIČIUS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	67	-			I	133712	3904	54506	0	6038	28327,18	4217	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104200.0%26rnkId%3D426			
1305	ANTANAS VALYS	1. Lietuvos socialdemokratų partija	76	-			I	51000	0	18000	0	0	36340,14	5444	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103946.0%26rnkId%3D426			
1306	RIMANTAS VALIUKAS	6. Lietuvos valstiečių ir žaliųjų sąjunga	35	-	64. Zanavykų	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	61210	434	13056	0	0	18605,02	2298	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102522.0%26rnkId%3D426			
1307	ONA VALIUKEVIČIŪTĖ	5. Partija Tvarka ir teisingumas	8	-	9. Lazdynų	5. Partija Tvarka ir teisingumas	I	1000	0	61632	0	0	35654,26	5348	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102154.0%26rnkId%3D426			
1308	PETRAS VALIŪNAS	6. Lietuvos valstiečių ir žaliųjų sąjunga	69	-	69. Dzūkijos	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	67050	0	0	0	7500	12177,39	1822	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102526.0%26rnkId%3D426			
1309	KRISTIJONAS VALIUS	3. Lietuvos laisvės sąjunga (liberalai)	104	-			I	127000	13000	10000	0	110000	9684,5	601	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102978.0%26rnkId%3D426			
1310	NIJOLĖ VALUCKIENĖ	6. Lietuvos valstiečių ir žaliųjų sąjunga	113	-			I	14724	0	0	0	0	8956,36	1258	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102676.0%26rnkId%3D426			
1311	REIMUNDAS VARAPICKAS	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	31	-			I	118800	0	10000	0	0	11306,29	1560	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101288.0%26rnkId%3D426			
1312	MANTAS VARAŠKA	1. Lietuvos socialdemokratų partija	136	-			I	266470	1000	7540	0	70500	45105,36	6639	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103952.0%26rnkId%3D426			
1313	EGIDIJUS VAREIKIS	6. Lietuvos valstiečių ir žaliųjų sąjunga	141	-	58. Trakų-Vievio	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	66033	0	0	0	52740	37330,32	4980	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102468.0%26rnkId%3D426			
1314	JONAS VARKALA	9. „Drąsos kelias“ politinė partija	1	-	19. Aleksoto-Vilijampolės	9. „Drąsos kelias“ politinė partija	I	5404	0	743	0	0	29851,08	4478	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102718.0%26rnkId%3D426			
1315	JONAS VARKALYS	7. Lietuvos Respublikos liberalų sąjūdis	59	-	35. Plungės	7. Lietuvos Respublikos liberalų sąjūdis	I	5612	763662	63990	0	50000	22179,32	3326	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103452.0%26rnkId%3D426			
1316	DAINIUS VARNAS	3. Lietuvos laisvės sąjunga (liberalai)	30	-	13. Centro-Žaliakalnio	3. Lietuvos laisvės sąjunga (liberalai)	I	2000	0	5649	0	0	7964,2	1026	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102860.0%26rnkId%3D426			
1317	DARIUS VARNAS	8. Darbo partija	91	-			I	129000	0	0	0	43000	12410,64	1737	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101450.0%26rnkId%3D426			
1318	VALENTINAS VARNAS	8. Darbo partija	94	-			I	106740	17377	2500	57924	47986	7714,5	548	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101448.0%26rnkId%3D426			
1319	IRUTĖ VARZIENĖ	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	66	-	48. Biržų-Kupiškio	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	14382	0	0	0	0	28861,11	4329	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104138.0%26rnkId%3D426			
1320	JUOZAS VARŽGALYS	6. Lietuvos valstiečių ir žaliųjų sąjunga	44	-	61. Ukmergės	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	139700	0	0	0	10261	4613,17	328	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102518.0%26rnkId%3D426			
1321	JUZEF VASILEVSKI	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	76	-			I	73900	1431	0	0	0	31119,19	4452	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103194.0%26rnkId%3D426			
1322	GEDIMINAS VASILIAUSKAS	6. Lietuvos valstiečių ir žaliųjų sąjunga	17	-	17. Petrašiūnų	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	41995	1922	1922	0	0	12529,46	1783	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102442.0%26rnkId%3D426			
1323	VALDAS VASILIAUSKAS			-	71. Lazdijų-Druskininkų	Išsikėlė pats	I	147709	0	221277	0	0	34548,88	4689	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1098320.0%26rnkId%3D426			
1324	AIVARAS VASYLIUS	7. Lietuvos Respublikos liberalų sąjūdis	83	-			I	99679	434	6422	0	41000	25111,09	3654	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103616.0%26rnkId%3D426			
1325	DOROTA VAŠKOVIČ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	120	-			I	0	0	0	0	0	6549,71	749	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103206.0%26rnkId%3D426			
1326	VLADAS VAŽNEVIČIUS	5. Partija Tvarka ir teisingumas	126	-			I	16875	0	0	0	0	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102412.0%26rnkId%3D426			
1327	LIUDAS VEDECKIS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	40	-	44. Radviliškio	Lietuvos centro partija	I	183827	0	2000	43000	1100	6139,32	35	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104622.0%26rnkId%3D426			
1328	STANISLOVAS VĖLAVIČIUS	5. Partija Tvarka ir teisingumas	111	-			I	5418	0	0	0	0	6678,93	334	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102382.0%26rnkId%3D426			
1329	MARIJUS VELIČKA	8. Darbo partija	66	-	41. Kelmės-Šiaulių	8. Darbo partija	I	91242	0	33950	0	32329	66884,29	4283	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100660.0%26rnkId%3D426			
1330	INGRIDA VENCIUVIENĖ	8. Darbo partija	47	-	45. Kuršėnų-Dainų	8. Darbo partija	I	0	0	0	0	0	17881,59	2682	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100656.0%26rnkId%3D426			
1331	AURELIJUS VERYGA	6. Lietuvos valstiečių ir žaliųjų sąjunga	5	-	18. Panemunės	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	26790	0	2827	0	27419	36979,62	5324	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102444.0%26rnkId%3D426			
1332	BIRUTĖ VĖSAITĖ	1. Lietuvos socialdemokratų partija	18	-	14. Šilainių	1. Lietuvos socialdemokratų partija	I	34221	17622	20967	0	0	39225,12	5757	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103762.0%26rnkId%3D426			
1333	VYTAUTAS VĖŽELIS	6. Lietuvos valstiečių ir žaliųjų sąjunga	101	-			I	27050	0	32461	0	0	19696,61	1086	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102658.0%26rnkId%3D426			
1334	AUGUSTAS VICHROVAS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	53	-	69. Dzūkijos	Lietuvos centro partija	I	122000	0	5000	0	0	9645,46	1280	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104558.0%26rnkId%3D426			
